repository	original_path	corpus_path	title	documentclass	classification	word_count
8b-is/8b-public-documents	cinematic-reconstruction.tex	sources/8b-is/8b-public-documents/cinematic-reconstruction.tex	Cinematic Reconstruction [4pt] A Framework for Video Generation, Compression, and Diagnosis via Persistent World State	article	draft	23261
8b-is/8b-public-documents	working/formalism-interface.tex	sources/8b-is/8b-public-documents/working/formalism-interface.tex		article	draft	6791
8b-is/8b-public-documents	working/gesture_review.tex	sources/8b-is/8b-public-documents/working/gesture_review.tex	From Classifier to Inverse Engine: Gesture Recognition as Latent Embodied Semantic Reconstruction	article	draft	17567
8b-is/8b-public-documents	working/kes-cheatsheet.tex	sources/8b-is/8b-public-documents/working/kes-cheatsheet.tex		article	draft	1635
8b-is/8b-public-documents	working/propagative_reality.tex	sources/8b-is/8b-public-documents/working/propagative_reality.tex	Process, Projection, and Propagative Reality: Whiteheadian Occasions, RSVP Fields, and the Geometry of Recursive Stabilization	article	draft	8461
8b-is/8b-public-documents	working/silicon_cartography.tex	sources/8b-is/8b-public-documents/working/silicon_cartography.tex	Silicon Cartography Constraint-First Programming for Spatial Chips	article	draft	11804
peterlodri-sec/vim-philosophy	building-forth.tex	sources/peterlodri-sec/vim-philosophy/building-forth.tex	Building Forth from Spherepop Primitives: Stacks, Continuations, and Recursive Control	article	draft	3305
peterlodri-sec/vim-philosophy	papers/beyond-optimal-foraging/beyond-optimal-foraging.tex	sources/peterlodri-sec/vim-philosophy/papers/beyond-optimal-foraging/beyond-optimal-foraging.tex	Beyond Optimal Foraging	article	draft	12
standardgalactic/Centerfuge	essay/draft-01/monograph.tex	sources/standardgalactic/Centerfuge/essay/draft-01/monograph.tex	Polyglot Modular Computation via Sheaf Cohomology: A Monumental Categorical Treatise with Historical, Computational, and Epistemic Depth	book	draft	1844
standardgalactic/TARTAN	music/working/concrete_cracks_analysis.tex	sources/standardgalactic/TARTAN/music/working/concrete_cracks_analysis.tex		article	draft	5210
standardgalactic/TARTAN	reconstruction_stability.tex	sources/standardgalactic/TARTAN/reconstruction_stability.tex		article	draft	8425
standardgalactic/alphabet	Abstraction as Reduction.tex	sources/standardgalactic/alphabet/Abstraction as Reduction.tex	Abstraction as Reduction: A Unified Account of Evaluation, Structure, and Proof	article	draft	38914
standardgalactic/alphabet	Admissible Histories - draft 01.tex	sources/standardgalactic/alphabet/Admissible Histories - draft 01.tex	Admissible Histories: The Incongruent Neuron and the Ontological Structure of Error	article	draft	1154
standardgalactic/alphabet	Embodied Constraint.tex	sources/standardgalactic/alphabet/Embodied Constraint.tex	Embodied Constraint and Minimal Assembly: [0.5em] Articulation, Markedness, and the Economy of Stroke in the Arabic Script	article	draft	8934
standardgalactic/alphabet	Flower Wars - Draft 01.tex	sources/standardgalactic/alphabet/Flower Wars - Draft 01.tex		article	draft	4753
standardgalactic/alphabet	Flower Wars.tex	sources/standardgalactic/alphabet/Flower Wars.tex		article	draft	12084
standardgalactic/alphabet	Neural Commit Semantics - draft 01.tex	sources/standardgalactic/alphabet/Neural Commit Semantics - draft 01.tex	Neural Commit Semantics and the Algebraic Structure of Language	article	draft	3023
standardgalactic/alphabet	Never-Predict-Noise-draft-01.tex	sources/standardgalactic/alphabet/Never-Predict-Noise-draft-01.tex	Never Predict Noise: Manifold-Aligned Prediction as Generative Inference	article	draft	2245
standardgalactic/alphabet	Never-Predict-Noise-draft-02.tex	sources/standardgalactic/alphabet/Never-Predict-Noise-draft-02.tex	Never Predict Noise: Manifold-Aligned Prediction as Generative Inference	article	draft	7678
standardgalactic/alphabet	Spectacle Runtime - draft 01.tex	sources/standardgalactic/alphabet/Spectacle Runtime - draft 01.tex	Spectacle Runtime and the Compression of Meaning: Temporal Form, Social Media, and the Reformatting of Collective Belief [0.5em] A Study in Media Ecology and Epistemic Architecture	article	draft	7455
standardgalactic/alphabet	The Ecology of Neoteny - draft 02.tex	sources/standardgalactic/alphabet/The Ecology of Neoteny - draft 02.tex		article	draft	5531
standardgalactic/alphabet	The Ecology of Neoteny - draft 03.tex	sources/standardgalactic/alphabet/The Ecology of Neoteny - draft 03.tex		article	draft	13628
standardgalactic/alphabet	The Ecology of Neoteny.tex	sources/standardgalactic/alphabet/The Ecology of Neoteny.tex		article	draft	6582
standardgalactic/alphabet	The Incoherence - draft 01.tex	sources/standardgalactic/alphabet/The Incoherence - draft 01.tex		article	draft	4362
standardgalactic/alphabet	The Incoherence.tex	sources/standardgalactic/alphabet/The Incoherence.tex		article	draft	4408
standardgalactic/alphabet	aphantasia/quantum-spherepop-draft-01.tex	sources/standardgalactic/alphabet/aphantasia/quantum-spherepop-draft-01.tex	SpherePop: The RSVP Field in Complex Phase Space	article	draft	2070
standardgalactic/alphabet	document/civic_simulator.tex	sources/standardgalactic/alphabet/document/civic_simulator.tex	Civilizations as Hypotheses Simulation, Repair, and the Architecture of Admissible Futures	article	draft	7223
standardgalactic/alphabet	document/draft/autoregression.tex	sources/standardgalactic/alphabet/document/draft/autoregression.tex	AI Minds Decoded: The Math Linking Brains and Machines	article	draft	2522
standardgalactic/alphabet	economics/Scalar-Extraction-v02.tex	sources/standardgalactic/alphabet/economics/Scalar-Extraction-v02.tex	Scalar Extraction in Platform Capitalism: A Field-Theoretic, Economic, and Algorithmic Theory of Extractive Social Networks and Their Non-Extractive Redesign	article	draft	2348
standardgalactic/alphabet	essay/draft-01/monograph.tex	sources/standardgalactic/alphabet/essay/draft-01/monograph.tex	Mind at Work: Detecting Agency through Assembly and Action	article	draft	8912
standardgalactic/alphabet	essay/draft-02/monograph.tex	sources/standardgalactic/alphabet/essay/draft-02/monograph.tex	Mind at Work: Detecting Agency through Assembly and Action	article	draft	4827
standardgalactic/alphabet	essay/draft-03/monograph.tex	sources/standardgalactic/alphabet/essay/draft-03/monograph.tex	Mind at Work: Detecting Agency through Assembly and Action	article	draft	12763
